video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=E_0F3VVjxcE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,"MOVING INTO MY DREAM SEATTLE APARTMENT | apartment tours, move in day, unpacking and organizing",26K,1 year,living alone diaries: I finally moved out at 24 into my first apartment in Seattle! Moving across the country and apartment hunting in ...,2026-01-22 01:42:20.778491
/watch?v=x2sSutNDMuE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@maddykiim,Maddy Kim,Seattle Apartment Hunting | 12 Units w/ prices!!,38K,7 months,"seattle #apartment #apt be on the lookout for more seattle vlogs! :0 Hii I'm Maddy, and I'm a recent grad at UC Berkeley.",2026-01-22 01:42:20.779917
/watch?v=I59BSVEtR44&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@georgeoctavio,George Rodriguez Tacoma Seattle Real Estate Expert,10 Affordable Neighborhoods In Seattle Washington | Moving To Seattle WA,2.9K,1 year,"You may be wondering what are the affordable neighborhoods in Seattle Washington. Seattle, WA can be pricy and if you are ...",2026-01-22 01:42:20.781274
/watch?v=HII9UbOsuxg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@MonicaChurch,Monica Church,"The Best Cities To Move To In 2022: Seattle VS. Austin, Texas",573K,3 years,SUBSCRIBE for more: http://goo.gl/LPWD04 How To Find A Real Estate Agent: https://rb.gy/ar7th3 Keith's Austin Real Estate ...,2026-01-22 01:42:20.783280
/watch?v=c3cLm0fXN84&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,West Side Vs East Side - Where To Live When Moving To Seattle,1.5K,5 months,"If you're moving to the Greater Seattle area, you may be wondering if you should live on the west side or the east side. Both can ...",2026-01-22 01:42:20.785262
/watch?v=g_A9Wu3X9uo&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Kikiosity2025,Kikiosity,SEATTLE APARTMENT HUNTING (w/ rent prices + tours + tips),9.6K,6 months,"Moving to Seattle? Looking for an apartment in Seattle🏙️? In this video, I'm being completely transparent about my apartment ...",2026-01-22 01:42:20.786597
/watch?v=s4ea6BmApms&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SeattleToPugetSoundLiving,Selling the Pacific Northwest,"Ultimate Guide to Moving to Seattle, WA",417,1 year,"Ultimate Guide to Moving to Seattle, WA Looking to move to Seattle, WA but don't know where to start? Look no further than the ...",2026-01-22 01:42:20.789489
/watch?v=ZQVFzUBU100&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Livinginseattle1,Living in Seattle Washington - Christian Harris,What you need to know before moving from Chicago IL to Seattle WA,3.1K,2 years,"If you are thinking about moving from Chicago, Illinois (IL) to Seattle, Washington (WA), this is the video for you. I will cover some ...",2026-01-22 01:42:20.791373
/watch?v=1bCEff5GQ0M&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@KatieKH1,Katie KH,SHOULD YOU MOVE TO SEATTLE | How much I saved before moving | Affordable housing,8.6K,5 years,SHOULD YOU MOVE TO SEATTLE How much I saved before moving #seattleliving #affordablehousing #seattlewashington Why I ...,2026-01-22 01:42:20.793245
/watch?v=XU8kCpBPTqY&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SeattleToPugetSoundLiving,Selling the Pacific Northwest,Moving to Seattle? 25 Insider Tips for Living in Seattle Like a Local!,419,1 year,Are you moving to Seattle and looking for insider tips? Discover 25 must-know secrets about living in Seattle that only locals ...,2026-01-22 01:42:20.794393
/shorts/ZljgSiIuaCQ,/@AlfiRealEstateTeam,Alfi Real Estate Team,Thinking of moving to Seattle from CA?,2.4K,7 months,"Thinking of moving to Seattle from CA? Here's what you really need to know: ditch the umbrella, prep for snow shutdowns, and get ...",2026-01-22 01:42:20.795561
/watch?v=oyXR67heGNU&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Acrosstheglobechannel,Across The Globe,10 Reasons Nobody is Moving to Seattle Washington.,127K,3 years,"Seattle has been one of the more popular cities for relocating over the years. However, things have recently changed, with Seattle ...",2026-01-22 01:42:20.797485
/shorts/cP2_snfwg_I,/@livingintacomawashington,Living In Tacoma Washington [The Original!],What it cost to live in Seattle single,10K,3 years,"What it cost to live in Seattle single I have so many people contacting me who are moving here to Bonney Lake, Tacoma or ...",2026-01-22 01:42:20.798808
/shorts/NoknQ5d0GrU,/@LiveinKingCounty,Live in King County,Moving to Bellevue or Seattle: Which City is the Best Fit for You?,1.4K,2 years,"In this video, you'll explore the pros and cons of moving to Bellevue or Seattle, two cities in the Pacific Northwest with distinct ...",2026-01-22 01:42:29.998179
/shorts/Y5Cm2EPhiyA,/@SalaryTransparentStreet,Salary Transparent Street,"#SoftwareEngineer in Seattle, WA📍",840K,3 years,"SoftwareEngineer in Seattle, WA  #salarytransparentstreet #salarytransparency #paytransparency #howmuchdoyoumake ...",2026-01-22 01:42:30.001389
/watch?v=PZylncrWP4o&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Scriptshepherd,Script Shepherd ,I Left NYC for Seattle One Year Ago: Do I Regret It?,50K,2 years,"I left New York City for Seattle just over a year ago. When I arrived, I made a video on why I left. Here is my follow-up video with a ...",2026-01-22 01:42:30.007977
/shorts/Evf3C41Ri_g,/@jaceoliverr,Jace Oliver,Moving to Seattle,2K,3 years,Washington is one of the prettiest places in the US! See my first year in Seattle through my eyes Background music A peaceful ...,2026-01-22 01:42:30.011513
/watch?v=KUwFZuO-ECQ&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@RainCityDana,RainCityDana,How I Moved To Seattle - Life in Seattle - raincitydana,3.6K,9 years,"How I Moved To Seattle - STORYTIME Like, Comment, Share and most importantly Subscribe for more Daily Vlogs and Videos!",2026-01-22 01:42:30.014899
/watch?v=I5ooXW6r-x0&t=32s&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Seattle COST of Living in 2025 | Everything You Need to Know About Living in Seattle WA,1K,10 months,"Thinking about moving to Seattle? In this video, I break down the Seattle cost of living, including rent prices, home prices, utilities, ...",2026-01-22 01:42:30.019053
/shorts/nPLrIWqmVXA,/@RachelWaldorf,Rachel Waldorf,Is Seattle the right city for you?,122K,3 years,What are the pros and cons of living in Seattle? New video is up! check it out: ...,2026-01-22 01:42:30.022891
/shorts/RBKtQxJRY0w,/@kiaraberryy,Kiara Berry,come apartment hunting with me in seattle!🏙️✨ #moving #apartmenttour #seattle,3.4K,4 months,I recently moved out of texas to seattle washington and i have officially started the apartment hunting journey so come with me to ...,2026-01-22 01:42:30.026410
/watch?v=uqtwqKxvQfc&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SellingSeattle,Selling Seattle Matt Steel,Why SEATTLE is BETTER than CALIFORNIA! Moving from California to Seattle 🚗💨 [The Truth🤯],932,3 years,Is #SEATTLE more expensive than #CALIFORNIA? Is it better to live in #LA or #SEATTLE? Is moving from California to Seattle ...,2026-01-22 01:42:30.028602
/watch?v=qg52xr9qjmg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,"SEATTLE APARTMENT HUNTING | touring 10 units in downtown seattle ft/ rent prices, budget, & tips",26K,6 months,"Whether you're moving to Seattle, planning your first apartment, or just love realistic apartment tours, this vlog is for you! more ...",2026-01-22 01:42:30.030523
/shorts/Ci7OGXbRWHM,/@GordyMarksRealEstate,Gordy Marks Real Estate,What you MUIST know before moving to Seattle #seattle #shorts  #realestateagent #moving,100,2 years,Are you thinking of making the move to Seattle? Here's what you need to know about Seattle!,2026-01-22 01:42:30.032079
/watch?v=m3KudEHnoiE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SeattleToPugetSoundLiving,Selling the Pacific Northwest,The Ultimate Guide To Moving To Seattle In 2025: Pros And Cons You Must Know!,552,1 year,"Moving to SEATTLE, WA PROS and CONS [2025] [EVERYTHING You NEED To KNOW!] Are you planning on moving to ...",2026-01-22 01:42:30.033303
/shorts/x4dl9bA-ocQ,/@livinginseattlearea8586,Living In Seattle Area,What Fall & Winter Are Like in Seattle Washington - Living in Seattle,94K,4 years,One of the most common questions we get asked from people moving to Seattle Washington. Choosing the right neighborhood for ...,2026-01-22 01:42:30.035574
/watch?v=nFGa8CmDrsk&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@KatieKH1,Katie KH,THINGS TO KNOW BEFORE MOVING TO SEATTLE | PROS & CONS,4.2K,5 years,THINGS TO KNOW BEFORE MOVING TO SEATTLE #prosandconsseattle #Seattleliving #livinginseattle I have now lived in ...,2026-01-22 01:42:30.037789
/shorts/i-Q_RpQs9oE,/@aaronmorrowrealtorseattle,Aaron Morrow - Greater Seattle Luxury Home Tours,Top 15 Things to know before moving to the Greater Seattle WA Area | #5 Culture & Entertainment,208,2 years,Top 15 Things to know before moving to the Greater Seattle Washington Area | #5 Culture and Entertainment Discover the top 15 ...,2026-01-22 01:42:30.039158
/watch?v=BnNS47Id7Xc&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@HomeProAssociates,HomePro Associates,"6 Steps For Moving to Seattle, Washington",103,3 years,"Are you thinking about moving to Seattle, Washington? Planning a move can be a big task. You might be starting months, or even ...",2026-01-22 01:42:30.043370
/watch?v=F8epKr7c3oU&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SarahRoseBeauty,Sarah Rose,MOVING TO SEATTLE: Driving From Georgia to Seattle in 3 Days! // VLOG,7.5K,3 years,Part two of my moving to Seattle vlogs. In this vlog we drive our car from Georgia to Seattle in 3 days! Loved documenting this ...,2026-01-22 01:42:30.044636
