video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=hPLv6jmY9-s&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@LivinginSeattleWashington,Living in Seattle Washington,Seattle Washington PROS AND CONS | Living In Seattle WA,4.3K,1 year,Seattle Washington PROS AND CONS | Living In Seattle WA. Wondering about the ups and downs of living in Seattle Washington ...,2026-01-22 01:43:32.846533
/watch?v=0iJK3a642ug&t=46s&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@KellyLira,Kelly Lira,so you want to move to seattle... | q&a,39K,2 years,I answer a few questions about living in Seattle. Hopefully this helps you make your decision if you're thinking about moving here!,2026-01-22 01:43:32.849616
/watch?v=u9a2drmTonE&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"What It's Like Living In Queen Anne, Seattle's Iconic Neighborhood",475,1 month,"Curious what it's like to live in Seattle's most iconic neighborhood? In this video, I am giving you a tour around Queen Anne.",2026-01-22 01:43:32.850887
/watch?v=Y3hy5Ws3lU0&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@heyitstiffanychen,Tiffany Chen,Seattle Apartment Hunting with $1300 Budget | Starting Fresh & Exploring the City,115K,3 months,"I just moved to Seattle, and this vlog captures my first week settling into a brand new city. From apartment hunting to discovering ...",2026-01-22 01:43:32.852513
/watch?v=PCIf2QyLw98&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@LivingInSeattlePNW,Living in Seattle Washington PNW,WHY Seattle? 5 UNEXPECTED reasons to make the move! | Moving to Seattle WA | Seattle WA Real Estate,10K,1 year,Are you thinking about moving to Seattle Washington? Let's explore Seattle Washington today and check out these Seattle facts!,2026-01-22 01:43:32.854394
/watch?v=ISo7ZgulTWY&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,Seattle Cost of Living 2025: Is it Worth It?,4.4K,1 year,"Seattle Cost of Living 2025: Is it Worth It? - Matthew Chapman Thinking about moving to Seattle? In this video, we're diving into ...",2026-01-22 01:43:32.856208
/watch?v=I5ooXW6r-x0&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Seattle COST of Living in 2025 | Everything You Need to Know About Living in Seattle WA,1K,10 months,"Thinking about moving to Seattle? In this video, I break down the Seattle cost of living, including rent prices, home prices, utilities, ...",2026-01-22 01:43:32.858074
/watch?v=dARQYxOoJ74&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@USHistorians,US Historians,8 Best Places to Live in Seattle  - Seattle Washington,25K,2 years,"Living in Seattle - Best Places to Live in Seattle - Seattle Washington Seattle is renowned for its stunning natural beauty, thriving ...",2026-01-22 01:43:32.859848
/watch?v=Mnz9LWLyEr0&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@AshleyBProperties,Living In Washington State,Living in Seattle: Pros and Cons You Need to Know,6.2K,1 year,Thinking about making the Emerald City your home? Join me as I break down the pros and cons of living in Seattle from my ...,2026-01-22 01:43:32.861042
/watch?v=jN8zLWgWQRk&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,Living in Seattle: 5 Reasons NOT to move here,71K,3 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:43:32.863740
